BINOMIAL,ID,Year,Lat,Long,Frequency,Duration,n,N_area,Model,tau_p,tau_p_min,tau_p_max,tau_p_var,tau_v,tau_v_min,tau_v_max,tau_v_var,speed,speed_min,speed_max,diffusion,diffusion_min,diffusion_max,kde.min,kde.ml,kde.max,akde.min,akde.ml,akde.max,same.model,CV_N_area,kde.95CV.min,kde.95CV.ml,kde.95CV.max,akde.95CV.min,akde.95CV.ml,akde.95CV.max,full.n
Anas platyrhynchos,90A87507,2010,56.2211601,16.4425076,15.00001667,36.06288198,3439,731.5642068,OU anisotropic,4101.069567,3776.335869,4453.727682,28586.98035,NA,NA,NA,NA,NA,NA,NA,0.278761373,0.26830888,0.289410802,8549.936721,8843.08942,9141.114476,11574.14113,12460.86462,13379.85098,0.110188037,326.5615483,95.52,95.99,95.76,95.7,96.34,96.34,1720
Anas platyrhynchos,90A87508,2010,56.2211362,16.4424279,15.01661667,36.02231485,3443,963.5175751,OU anisotropic,3108.581176,2886.841279,3347.35304,13273.77165,NA,NA,NA,NA,NA,NA,NA,0.378104018,0.363077107,0.393431357,17427.20265,18024.37503,18631.46691,16899.78327,18019.77154,19175.1846,0.017186539,546.5165675,96.52,96.75,96.81,96.52,96.86,96.86,1722
Anas platyrhynchos,90A87509,2010,56.22114665,16.44242455,15.01661667,36.07476851,3406,562.5140565,OU anisotropic,5273.520908,4808.5578,5783.443587,58889.27317,NA,NA,NA,NA,NA,NA,NA,0.340811655,0.328331988,0.353520838,35963.11067,37202.29654,38462.17876,12234.11096,13311.57443,14433.85983,0.097016558,236.7669086,98.42,95.66,98.47,96.01,96.65,96.77,1703
Anas platyrhynchos,90A87512_crop_1,2010,56.2211491,16.442434,15.00001667,29.9373611,2849,1013.105301,OU anisotropic,2428.199531,2253.120428,2616.883186,8278.508154,NA,NA,NA,NA,NA,NA,NA,0.244509386,0.233774304,0.255482072,2413.078523,2504.213584,2597.014245,2608.182692,2776.544451,2950.097428,0.070204192,512.7848192,95.65,97.41,96.14,95.51,97.41,96.49,1424
Anas platyrhynchos,90A87513,2010,56.2211075,16.4424741,15.00003333,36.00180557,3432,485.2488623,OU anisotropic,6238.39331,5655.970968,6880.790462,92659.23084,NA,NA,NA,NA,NA,NA,NA,0.426205508,0.410963296,0.441721378,12344.55646,12768.25836,13199.00966,12269.71101,13438.99603,14660.73619,0.30159129,214.4699489,99.83,98.02,99.94,97.79,98.25,99.42,1716
Anas platyrhynchos,90A87515,2010,56.2211271,16.4424069,15.01661667,35.93916666,3423,1345.588669,OU anisotropic,2171.449967,2032.607552,2319.776366,5183.971125,NA,NA,NA,NA,NA,NA,NA,0.353725945,0.339146299,0.368608118,3725.393826,3853.432782,3983.604825,3747.962613,3956.566616,4170.740335,0.04663338,745.7799098,94.92,95.5,95.79,94.92,95.44,95.79,1712
Anas platyrhynchos,90A87543,2010,56.2211213,16.442409,15.00003333,38.83481481,3701,43.38858745,OU anisotropic,71609.98311,51786.92012,99020.9433,119750575.8,NA,NA,NA,NA,NA,NA,NA,53.32817806,51.09996625,55.60327349,1295138.475,1337904.406,1381355.297,9238292.645,12745255.72,16807735.23,0.032333374,54.69747818,74.51,77.32,74.78,77.7,83.86,86.5,1850
Anas platyrhynchos,90A87557,2010,56.2210878,16.4423183,15,12.63739583,1205,61.01890158,OU anisotropic,16906.77208,12830.53399,22278.02384,4947799.079,NA,NA,NA,NA,NA,NA,NA,92.82586406,85.66256984,100.2726923,1420101.404,1503857.997,1589980.534,2983266.616,3899926.019,4937513.469,0.003568051,25.73289399,81.13,81.13,90.23,82.28,94.21,96.85,602
Anas platyrhynchos,90A87574-ID2422148,2010,56.221127,16.4424495,15.01663333,35.99174765,3407,358.2352778,OU anisotropic,8588.965258,7677.321965,9608.861599,228600.3667,NA,NA,NA,NA,NA,NA,NA,0.580542375,0.559870388,0.601583873,19641.6693,20318.3631,21006.35706,29627.09165,32951.37591,36449.86816,0.571618224,142.4910817,97.42,99.82,97.59,97.54,99.88,98.42,1704
Anas platyrhynchos,90A87575_crop_1,2010,56.2211541,16.4425153,15.00005,31.13548612,2947,400.2440502,OU anisotropic,6368.689784,5715.032182,7097.109565,117299.7408,NA,NA,NA,NA,NA,NA,NA,0.255787289,0.245899981,0.265866751,12308.71979,12765.57124,13230.63087,11983.9876,13250.47956,14579.67313,0.207355297,153.6701388,96.88,96.2,96.95,96.2,96.81,97.08,1474
Anas platyrhynchos,90A87583,2010,56.2210568,16.4422725,15,11.26210647,1074,46.70802834,OU anisotropic,18303.47498,13313.00242,25164.66126,7568763.558,NA,NA,NA,NA,NA,NA,NA,91.47870469,84.07683163,99.18837993,1144358.185,1216039.428,1289867.359,3666109.254,4994693.91,6525530.77,0.018199894,15.2433892,85.69,92.94,90.89,97.96,97.96,100,537
Anas platyrhynchos,90A87615,2010,56.2341811,16.4132515,15.00001667,33.89728009,3223,18.57134127,OUF anisotropic,145621.1591,86815.27232,244260.2714,1154685344,271.9280859,243.3815335,303.8229025,224.0053877,0.825286197,0.793510843,0.857044898,182.9744846,172.5311095,193.7203944,10842571.86,11226916.44,11617861.51,66846675.45,111761655.4,168031507.2,1.193606057,9.793275743,99.01,99.63,99.57,100,100,100,1612
Anas platyrhynchos,90A87623,2010,56.2211168,16.4423897,15.00833333,38.88537034,3703,213.5001106,OU anisotropic,15191.69008,13163.63783,17532.19365,1148608.162,NA,NA,NA,NA,NA,NA,NA,123.9504778,118.8198903,129.1879865,4059597.102,4193609.327,4329767.371,3287489.311,3777191.859,4300396.698,0.162457666,92.02750831,95.03,95.03,95.25,96.27,98.16,99.3,1852
Anas platyrhynchos,90A87652_crop_1,2010,56.2211324,16.4425153,15.00001667,33.65849537,3193,128.651104,OU anisotropic,21959.3544,18255.90946,26414.09056,3908156.395,NA,NA,NA,NA,NA,NA,NA,67.50652261,64.63288093,70.44178957,745778.2047,772341.5905,799363.3152,669264.1797,801824.4664,946184.4931,0.930051629,66.18334585,99.75,99.75,99.75,99.75,99.87,100,1596
Anas platyrhynchos,90A87663,2010,56.33900505,16.5406326,15,30.91890046,2958,38.43683041,OUF anisotropic,53871.24951,37875.48786,76622.41961,79030599.64,80.54259278,47.69861232,136.0020541,361.3145159,2.080571635,1.647117185,2.513157772,341.3712587,321.5067941,361.8227554,76185146.73,79007430.72,81880327.03,62165830.83,87659137.91,117464447.2,0.000551907,18.82136988,81.96,83.18,84.86,91.55,94.19,95.68,1479
Anas platyrhynchos,90A87669,2010,56.2597561,16.4654926,15.00001667,33.00187503,3147,50.85030211,OUF anisotropic,52440.01159,38766.59206,70936.20228,56378920.96,134.9068597,100.2202726,181.598596,361.9640698,2.168731445,1.917026308,2.420071961,622.647443,586.0832953,660.3023376,79441474.2,82292212.56,85192500.52,120009347.2,161255507.7,208500301.1,0.03601277,24.12545619,63.34,63.72,63.79,75.35,75.48,80.69,1574
Anas platyrhynchos,90A87670,2010,56.25970665,16.4792088,15.00003333,34.88766207,3344,87.39548151,OUF anisotropic,32989.69697,26247.86191,41463.19078,13229738.34,142.8360998,114.1117133,178.7910357,239.6833108,2.451175521,2.232913267,2.669185043,836.3966535,790.7621264,883.2932797,54127556.55,56010300.64,57924782.19,84203784.03,105072905.2,128217610.9,5.80E-05,41.97709293,75.25,75.31,75.31,75.43,77.82,96.59,1672
Anas platyrhynchos,90A87677,2010,56.221208,16.4426525,15.016625,12.8259375,1227,25.02913083,OU anisotropic,38278.9312,24625.32995,59502.81993,60060124.14,NA,NA,NA,NA,NA,NA,NA,183.202198,169.7967008,197.109771,7574747.796,8017299.632,8472238.358,16729273.87,25843531.43,36908032.48,0,15.7128327,97.88,97.88,97.88,92.02,100,100,614
Anas platyrhynchos,90A87693,2010,56.2777823,16.50074345,15,33.88696759,3236,35.53144903,OU anisotropic,75600.03423,52685.33974,108481.1297,162869938.9,NA,NA,NA,NA,NA,NA,NA,777.5272882,744.9254365,810.8175807,77984949.5,80743632.06,83549594.29,168034606,240529770.8,325822207.9,0.152785003,7.899720583,36.26,37.62,38.23,65.6,75.91,79.43,1618
Anas platyrhynchos,90A87700,2010,56.32426825,16.50949935,15,43.7728125,4182,34.07313119,OUF anisotropic,99991.81667,68993.68072,144917.0895,299462533,161.4306383,136.4459755,190.9902502,176.4470192,1.778437897,1.664218375,1.892559396,504.7570032,480.2840016,529.8295884,165399449.8,170529729.5,175737270.5,219882833.3,317370159.5,432464149.4,0.270642485,11.26132213,95.89,95.27,95.89,99.19,100,100,2091
Anas platyrhynchos,90A87705,2010,56.3221392,16.4946612,15.00005,25.99122685,2481,31.75105384,OU anisotropic,52964.17605,36010.73674,77899.09895,90204453.44,NA,NA,NA,NA,NA,NA,NA,174.5670288,167.4664258,181.8129926,8511308.35,8856478.311,9208412.946,37512299.17,54932031.45,75621569.04,0.091124026,4.521693447,62.16,62.32,62.16,72.3,92.59,100,1240
Anas platyrhynchos,90A87714,2010,56.2773243,16.4823645,15.00001667,33.89751161,3237,35.97739656,OUF anisotropic,73774.51302,51342.27908,106007.7361,156186401.7,80.75291515,49.465969,131.8286781,322.723943,1.901230696,1.527746662,2.273975005,286.8141671,270.0573349,304.068245,50825691.11,52623341.93,54451796.99,72009013.43,102825611.3,139045324,0.002016801,15.16488336,62.84,62.96,63.52,58.7,70.31,86.48,1618
Anser fabalis,G18_crop_1,2014,58.599015,13.848045,58.03333333,197.0336111,700,111.3939582,OUF anisotropic,24929.3788,19923.23524,31193.42415,7278927.141,333.9759371,282.5684814,394.7359096,746.6355862,1.577313276,1.470795291,1.683735437,782.7129978,695.960248,874.4874661,48254922.3,52041934.34,55969966.69,59713800.81,72561466.53,86642274.6,0.100006935,89.12755774,99.43,99.43,99.72,98.86,100,100,350
Anser fabalis,G20_crop_1,2014,58.60444,13.85604,90.70833333,49.01615741,127,36.72719212,OUF anisotropic,29945.06823,18159.61484,49379.19221,46009282.57,1147.434247,443.8383001,2966.407701,201204.2547,0.852332968,0.605131875,1.099135516,715.9271128,535.1888704,922.5545377,55993500.36,67216933.12,79450338.64,61825457.71,87933211.57,118567396.8,0.123499628,28.99577725,89.06,92.19,98.44,89.06,92.19,100,64
Aquila chrysaetos,11515a_crop_1,2006,37.941,-108.658,101.9666667,1051.385694,522,90.40571334,OU anisotropic,460521.0825,360217.2855,588754.832,2952589029,NA,NA,NA,NA,NA,NA,NA,8986.663168,8150.341884,9863.243799,7622315778,8321627267,9051191215,16381492077,20361474451,24767758021,0.007530269,47.46894304,98.85,99.24,99.62,100,100,100,261
Aquila chrysaetos,18549b_crop_1,2005,34.916,-105.876,83.06666667,222.3350926,405,105.9127287,OU anisotropic,43873.19924,34621.18534,55597.68081,25014595.69,NA,NA,NA,NA,NA,NA,NA,7822.076688,6948.245811,8746.914448,2700095173,2984014173,3281922353,2304121601,2814547724,3375279251,0.028856546,58.26335254,57.35,82.84,65.69,64.71,83.33,75.98,202
Aquila chrysaetos,20948a_crop_1,2000,40.3605,-115.588,75.55,75.49903935,132,131,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1363073072,1630279342,1921047048,1361440652,1628326915,1918746398,0,13.58186265,97.01,98.51,100,100,100,100,66,NA
Aquila chrysaetos,20948b,2002,39.605,-115.28,90.575,268.0912384,403,5.757104898,OU anisotropic,3596606.807,1272619.122,10164534.15,2.28E+12,NA,NA,NA,NA,NA,NA,NA,10650.43864,9618.18514,11734.55105,1.25E+11,1.38E+11,1.52E+11,1.17E+11,3.27E+11,6.44E+11,0.075157559,20.85877465,16.83,45.05,43.56,44.55,51.98,54.46,202
Aquila chrysaetos,21166b,2005,42.144,-113.398,66.05833333,592.6178472,863,26.68357472,OU anisotropic,1637025.445,1068438.657,2508194.823,1.03E+11,NA,NA,NA,NA,NA,NA,NA,10061.85841,9319.906143,10831.82222,51756664692,55393298524,59151652884,67356522154,1.02E+11,1.45E+11,0.38112673,73.43160625,13.43,14.81,15.51,11.57,18.52,25.93,432
Aquila chrysaetos,21166c_crop_1,2008,33.131,-106.984,72.05,99.22137731,178,177,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1345624259,1568140226,1807432059,1342282923,1564246359,1802944003,0.236545645,13.97256807,87.78,92.22,94.44,86.67,98.89,100,89,NA
Aquila chrysaetos,21168b_crop_1,2005,41.564,-110.386,70.06666667,453.8339468,848,163.030767,OU anisotropic,54501.91856,45147.92856,65793.91838,24975254.56,NA,NA,NA,NA,NA,NA,NA,8177.322709,7533.104194,8847.595176,954146288.2,1021810624,1091760034,1733453034,2033643513,2357453092,0.054974707,87.37110999,74.82,74.82,75.76,76.47,76.47,76.94,424
Aquila chrysaetos,21260b_crop_1,2005,34.879,-113.209,98.08333333,155.2181481,227,226,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3415353793,3908329751,4434054439,3415053618,3907986249,4433664731,0.100101319,22.05975652,94.74,94.74,94.74,93.86,94.74,100,114,NA
Aquila chrysaetos,21839b,2004,34.781,-105.774,75.55833333,118.8904514,197,37.22682273,OU anisotropic,80570.61636,53774.70418,120718.9202,227336605,NA,NA,NA,NA,NA,NA,NA,5219.367006,4400.549821,6107.015038,1787006273,2066152067,2365259522,1967224325,2790732920,3755972464,0.28180783,17.76780943,100,100,100,100,100,100,98
Aquila chrysaetos,26353b_crop_1,2001,34.5435,-108.6045,75.56666667,90.72291667,166,36.92099973,OU,57939.65346,38791.27672,86540.16386,115918513,NA,NA,NA,NA,NA,NA,NA,5240.714662,4376.730489,6181.369696,1895154334,2221137696,2572610009,1791863363,2545966625,3430438952,0.200217359,20.57010128,45.24,75,94.05,44.05,85.71,100,83
Aquila chrysaetos,26353c_crop_1,2004,28.254,-109.273,96.56666667,155.45125,235,36.04425822,OU anisotropic,234808.1175,158288.2433,348319.3122,1845120345,NA,NA,NA,NA,NA,NA,NA,15016.02292,12942.05283,17241.86496,37756525322,43102652379,48797602007,20989097871,29960684171,40503681907,0.003307642,17.32412894,73.73,75.42,76.27,77.12,81.36,88.14,118
Aquila chrysaetos,26353d_crop_1,2007,41.5875,-108.531,87.06666667,114.4835417,206,34.24074873,OU anisotropic,135343.9059,90048.57342,203423.2433,650557030.8,NA,NA,NA,NA,NA,NA,NA,9262.788753,7749.104122,10909.51219,4715478698,5433910440,6202536680,5111338664,7370258218,10036058448,0.321374864,12.25057407,100,100,100,95.19,100,100,103
Aquila chrysaetos,26359b_crop_1,2001,31.715,-102.09,96.825,76.91957176,91,90,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136092381.8,169244273.3,205955534.5,136140349.1,169303925.3,206028125.8,0.079243816,45,89.13,91.3,95.65,89.13,91.3,95.65,46,NA
Aquila chrysaetos,26400b_crop_1,2003,41.6635,-115.953,62.05,462.3413194,670,669,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445020314,1561088878,1681577265,1445805244,1561936855,1682490692,0.10392872,334,70.54,72.62,74.7,70.54,72.62,74.7,335,NA
Aquila chrysaetos,26401b,2005,45.21,-120.687,70.06666667,239.9021759,443,81.1222346,OU anisotropic,78886.8789,60203.09405,103369.1002,103670153.6,NA,NA,NA,NA,NA,NA,NA,15064.68228,13335.57061,16897.6685,5957222179,6554068072,7178998553,6260495514,7881872721,9687137689,0.015512578,41.86474717,79.28,82.88,84.68,76.13,86.04,88.29,222
Aquila chrysaetos,37300a_crop_1,2003,39.4075,-117.229,52.83333333,217.9130208,434,433,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3518388541,3874807795,4248175898,3509430047,3864941790,4237359226,0.40213796,27.70543823,89.91,95.41,93.58,95.87,97.71,98.62,217,NA
Aquila chrysaetos,37301b_crop_1,2004,32.954,-105.098,64.95833333,151.2998264,321,320,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809206816.6,905736710.8,1007627094,806538925,902750567.7,1004305026,0.133510146,39.94043461,96.91,98.15,100,95.68,100,100,160,NA
Aquila chrysaetos,37306a_crop_1,2007,39.071,-112.382,56.15,125.6981713,262,261,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228723439.4,259220772.8,291598979.7,232507578.4,263509478.1,296423369.7,0.012234788,130,58.33,91.67,70.45,58.33,91.67,70.45,131,NA
Aquila chrysaetos,37307a_crop_1,2004,20.398,-105.1995,96.88333333,134.4615856,176,175,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502827566,586507583,676533699.3,502887277.4,586577231.7,676614038.7,0,16.72718726,61.8,74.16,79.78,74.16,89.89,97.75,88,NA
Clanga clanga,15005_crop_1_crop_1,2017,13.09976768,-15.40653419,5,1858.931111,62008,62007,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3125248930,3149994259,3174835820,3105571455,3130160981,3154846132,0.040385294,31003,89.03,86.3,89.17,89.03,86.3,89.17,31004,NA
Clanga clanga,16102_crop_1_subset_1,2018,8.237321854,33.09551239,4.816666667,96.20777778,12186,12185,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565909600,576093633.7,586367227.6,493173398.7,502048481.4,511001613.2,1.070284594,6092,61.68,88.3,63.77,61.68,88.3,63.77,6093,NA
Clanga clanga,171315_crop_1,2019,1.571921587,34.47106934,5,111.1847222,11944,3.771415185,OUF anisotropic,814642.4254,210003.2765,3160152.034,1.77E+11,211.9080059,205.4009347,218.6212202,11.19299464,3.832804115,3.798138447,3.867465472,3106.265877,3000.810786,3213.516643,2754065962,2804134197,2854647199,4168058277,16109226031,35972492201,4.690938986,4.609240582,100,100,100,100,100,100,5972
Clanga clanga,180169_crop_1,2020,7.79426074,31.90729046,5,1215.143762,64842,64841,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32E+11,1.33E+11,1.34E+11,1.32E+11,1.33E+11,1.34E+11,0.217740955,32420,89.33,94.09,89.7,89.33,94.09,89.7,32421,NA
Ardea alba,2689 - not out_crop_1,2015,33.96946965,-78.653917,60.06666667,753.1259375,1964,198.8851172,OUF anisotropic,62334.61425,53421.70069,72734.56448,22303935.98,315.6021783,250.3706371,397.8291388,1240.294991,3.811936484,3.440650461,4.182757547,4453.245067,4210.305405,4702.902684,1510667847,1579787945,1650432492,1661233301,1918629874,2194294056,0.034600577,141.8980962,81.28,80.26,81.89,79.15,82.3,81.38,982
Ardea alba,2691 - Kansas_crop_1,2013,37.69781145,-97.35402835,5.050033335,138.2358912,17706,17705,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8249304.68,8372177.622,8495946.322,8103790.318,8224495.831,8346081.302,0.128350057,8852,96.23,95.67,96.56,96.23,95.67,96.56,8853,NA
Ardea alba,2698 - not out_crop_1,2016,35.8800575,-78.6725151,60.01666667,380.166713,823,822,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14034.47546,15045.57006,16091.33426,14052.28938,15064.66736,16111.75895,0.047093873,411,94.9,96.12,96.36,94.9,96.12,96.36,412,NA
Ardea alba,"Mr Meadows, Jones HS, Juve_crop_1",2013,34.0085176,-77.93403985,5.016633332,131.5411574,13494,13493,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770159087.2,783321037.9,796592959.9,765353308.8,778433129.2,791622234.6,6.220042508,6746,20.38,20.39,20.42,20.38,20.39,20.42,6747,NA
Ardea alba,MrsHeller (West Carteret HS),2013,34.7693643,-76.62628865,19.33338333,328.2921644,31810,31809,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580964.1553,587401.8272,593874.4803,583836.285,590305.783,596810.4351,0.056909306,15904,88.26,88.28,88.3,88.26,88.28,88.3,15905,NA
Ardea alba,MrsKelley (Dixon Elementary)_crop_1,2013,43.0752281,-79.0564329,5.04995,105.7776158,16770,16769,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14181918.63,14399039.73,14617787.41,14181332.65,14398444.78,14617183.42,0.501215603,8384,50.2,68.16,50.7,50.2,68.16,50.7,8385,NA
Ardea alba,MrsNewbern (Currituck County HS)_crop_1,2013,36.23215275,-76.19357975,19.53333333,234.0139121,7864,7863,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668875.5764,683909.5752,699108.3358,659939.0274,674772.1636,689767.8603,0.147377735,3931,95.7,95.8,95.83,95.7,95.8,95.83,3932,NA
Branta canadensis,181699_subset_1,2019,41.87120819,-88.48233032,60,141.1292361,3613,8.357592815,OUF anisotropic,1311067.873,577866.5181,2974560.586,2.06E+11,374.0883914,331.7352374,421.8488384,495.3183373,1.960138956,1.854441439,2.065759659,1432.872699,1375.938969,1490.944427,2596222000,2683014148,2771213370,4665421798,10572387647,18854146732,0.529267506,13.84727564,57.41,57.74,58.57,61.84,64.71,67.64,1806
Branta canadensis,Carol_subset_1,2022,41.74272537,-88.20146942,60.01666667,326.6663194,7725,7724,IID anisotropic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83232651.44,85120475.28,87029174.66,83951545.22,85855674.5,87780859.63,0.753224212,3861,99.79,99.82,99.82,99.79,99.82,99.82,3862,NA
Branta leucopsis,170563_crop_1,2008,54.96166,-3.445,120,444.4166667,745,26.57842977,OU anisotropic,377795.8835,245661.9219,581000.6226,5596548518,NA,NA,NA,NA,NA,NA,NA,396.3012952,365.6354038,428.1844445,442578335.9,476184772.7,511003511.2,591553053.4,900921434.6,1274324507,0.109027034,44.30927969,56.42,57.49,75.67,57.75,61.5,91.44,372
